;Action;Adult;Adventure;Animation;Biography;Comedy;Crime;Documentary;Drama;Family;Fantasy;Film-Noir;History;Horror;Music;Musical;Mystery;Romance;Sci-Fi;Sport;Thriller;War;Western
Action;1;;;;;;;;;;;;;;;;;;;;;;
Adult;0;1;;;;;;;;;;;;;;;;;;;;;
Adventure;0,1;0;1;;;;;;;;;;;;;;;;;;;;
Animation;0;0;0,2;1;;;;;;;;;;;;;;;;;;;
Biography;0;0;0;0,05;1;;;;;;;;;;;;;;;;;;
Comedy;0;0;0,1;0,2;0,3;1;;;;;;;;;;;;;;;;;
Crime;0,1;0;0;0,05;0;0,2;1;;;;;;;;;;;;;;;;
Documentary;0;0;0;0,3;0,3;0,2;0,2;1;;;;;;;;;;;;;;;
Drama;0;0;0;0,1;0,3;0,3;0,1;0,4;1;;;;;;;;;;;;;;
Family;0;0;0,2;0,35;0;0,4;0;0;0;1;;;;;;;;;;;;;
Fantasy;0;0;0;0,3;0;0;0;0;0;0,2;1;;;;;;;;;;;;
Film-Noir;0;0;0;0;0;0;0,4;0,05;0,1;0;0;1;;;;;;;;;;;
History;0;0;0;0,02;0,2;0,05;0;0,2;0,3;0;0;0,05;1;;;;;;;;;;
Horror;0;0;0;0,01;0;0,15;0;0;0,1;0;0,15;0;0;1;;;;;;;;;
Music;0;0;0;0,1;0,3;0,05;0;0,35;0,2;0;0;0;0;0;1;;;;;;;;
Musical;0;0;0;0;0,05;0,1;0;0;0;0,25;0,05;0;0,1;0;0,5;1;;;;;;;
Mystery;0,1;0;0;0;0;0;0,3;0;0,05;0;0;0,25;0;0,1;0;0;1;;;;;;
Romance;0;0;0;0,1;0,1;0,4;0;0;0;0,05;0,1;0,05;0,15;0;0,1;0,3;0;1;;;;;
Sci-Fi;0,3;0;0;0,1;0;0,05;0;0;0,3;0,1;0,35;0,05;0;0,35;0;0;0;0,1;1;;;;
Sport;0,2;0;0;0,05;0,2;0;0;0,25;0,3;0,15;0;0;0;0;0;0;0;0;0;1;;;
Thriller;0;0;0;0,1;0;0;0,25;0,01;0,1;0;0;0,1;0;0,2;0;0;0,15;0;0,1;0;1;;
War;0,1;0;0;0;0,03;0;0;0,35;0,3;0;0;0;0,2;0,05;0;0,1;0;0,05;0,2;0;0;1;
Western;0;0;0;0;0;0,2;0,05;0;0,15;0;0;0;0;0,3;0;0;0,01;0,1;0;0;0,2;0,3;1
